"Timestamp","Are you planning to cast your vote in the presidential election 2019?","In your opinion, which party is more likely to win this presidential election?","As of now to whom you will cast your vote in the presidential election? ","Are you influenced by the public opinion regarding the presidential candidates","What is the main electoral issue you have considered when you are deciding to whom is your vote is?","Is this the first presidential election you are going to cast your vote?","If No, would you like to share about to whom you voted in the last election?","If yes to whom you have voted?","Gender","How old are you?","Which religion do you follow?","Your ethnicity?","What is the highest educational qualification you have obtained?","District","Electoral Division","What is your current employment status?","Monthly Income (Individual )","How do you feel  about this survey",""
"2019/10/15 5:01:19 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Cost of living;Progress of the country;Lack of development;Religious issues;Foreign intervention","No","Yes","Maithripala Sirisena","Male","26","Buddhism","Sinhala","Postgraduate / Professional","","Kelaniya","Private sector employee","","Good","Gampaha"
"2019/10/26 8:21:30 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","To give chance to a new person","No","Yes","Maithripala Sirisena","Female","61","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Jaffna","Housewife","No Income","Good",""
"2019/10/26 8:23:57 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Development Of the Country","No","Yes","Maithripala Sirisena","Female","27","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Government employee","30000-49999 LKR","Good",""
"2019/10/26 8:26:09 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Freedom","No","Yes","Maithripala Sirisena","Female","61","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Self-employed/Business","30000-49999 LKR","Good",""
"2019/10/26 8:47:18 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Anura Kumara Dissanayake (NPP)","Yes","Development Of the Country;Religious issues","No","Yes","Maithripala Sirisena","Male","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","","","Private sector employee","100000-200000 LKR","Annoyed",""
"2019/10/26 8:58:47 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Economic freedom","No","Yes","Mahinda Rajapaksa","Male","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","","","Do not want to share","Don't like to Share","Good",""
"2019/10/26 8:59:24 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Male","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Mahara","Private sector employee","50000-99999 LKR","Annoyed",""
"2019/10/26 8:59:25 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Unp support","No","Yes","Maithripala Sirisena","Male","44","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Jaffna","Self-employed/Business","50000-99999 LKR","Good",""
"2019/10/26 9:00:55 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Economic freedom;Freedom","No","Yes","Mahinda Rajapaksa","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Puttalm","Wennappuwa","Private sector employee","15000-29900 LKR","Good",""
"2019/10/26 9:01:17 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities","No","Yes","Maithripala Sirisena","Female","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kandy","","Private sector employee","","Annoyed",""
